[16:44:17] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_train/data_train.rec, use 4 threads for decoding..
[16:44:28] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_val/data_val.rec, use 4 threads for decoding..
[16:44:34] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
/home/wangyuanwen/anaconda3/lib/python3.7/site-packages/mxnet/module/base_module.py:504: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.015625). Is this intended?
  optimizer_params=optimizer_params)
INFO:root:Epoch[0] Time cost=32.915
INFO:root:Saved checkpoint to "./data/train_output/mxnet_ckpt/mn-v2_0.5-0001.params"
INFO:root:Epoch[0] Validation-acc=0.982602
INFO:root:Epoch[1] Batch [0-50]	Speed: 5628.09 samples/sec	acc=0.979473
INFO:root:Epoch[1] Batch [50-100]	Speed: 5557.28 samples/sec	acc=0.982812
INFO:root:Epoch[1] Batch [100-150]	Speed: 6439.32 samples/sec	acc=0.987187
INFO:root:Epoch[1] Batch [150-200]	Speed: 6403.06 samples/sec	acc=0.983125
INFO:root:Epoch[1] Batch [200-250]	Speed: 6689.01 samples/sec	acc=0.988437
INFO:root:Epoch[1] Batch [250-300]	Speed: 5882.89 samples/sec	acc=0.985938
INFO:root:Epoch[1] Batch [300-350]	Speed: 5120.44 samples/sec	acc=0.982187
INFO:root:Epoch[1] Batch [350-400]	Speed: 5792.93 samples/sec	acc=0.986250
INFO:root:Epoch[1] Batch [400-450]	Speed: 5294.32 samples/sec	acc=0.986563
INFO:root:Epoch[1] Batch [450-500]	Speed: 6214.03 samples/sec	acc=0.983125
INFO:root:Epoch[1] Batch [500-550]	Speed: 6683.59 samples/sec	acc=0.986875
INFO:root:Epoch[1] Batch [550-600]	Speed: 5522.16 samples/sec	acc=0.986250
INFO:root:Epoch[1] Batch [600-650]	Speed: 6435.37 samples/sec	acc=0.985000
INFO:root:Epoch[1] Batch [650-700]	Speed: 6913.82 samples/sec	acc=0.980313
INFO:root:Epoch[1] Batch [700-750]	Speed: 6108.13 samples/sec	acc=0.987187
INFO:root:Epoch[1] Batch [750-800]	Speed: 4967.55 samples/sec	acc=0.986250
INFO:root:Epoch[1] Batch [800-850]	Speed: 4935.99 samples/sec	acc=0.980000
INFO:root:Epoch[1] Batch [850-900]	Speed: 5030.69 samples/sec	acc=0.983437
INFO:root:Epoch[1] Batch [900-950]	Speed: 7152.48 samples/sec	acc=0.983437
INFO:root:Epoch[1] Batch [950-1000]	Speed: 6232.85 samples/sec	acc=0.984375
